method,num_points,snr,bandwidth,pkl_path,pdf_path
none_self_tuning,800,20,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_none_self_tuning_NOP:800_IM:none_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_none_self_tuning_NOP:800_IM:none_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
procrustes_self_tuning,200,0,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_procrustes_self_tuning_NOP:200_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_procrustes_self_tuning_NOP:200_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
procrustes_self_tuning,200,10,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_procrustes_self_tuning_NOP:200_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_procrustes_self_tuning_NOP:200_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
procrustes_self_tuning,200,20,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_procrustes_self_tuning_NOP:200_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_procrustes_self_tuning_NOP:200_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
procrustes_self_tuning,400,0,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_procrustes_self_tuning_NOP:400_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_procrustes_self_tuning_NOP:400_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
procrustes_self_tuning,400,10,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_procrustes_self_tuning_NOP:400_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_procrustes_self_tuning_NOP:400_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
procrustes_self_tuning,400,20,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_procrustes_self_tuning_NOP:400_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_procrustes_self_tuning_NOP:400_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
procrustes_self_tuning,800,0,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_procrustes_self_tuning_NOP:800_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_procrustes_self_tuning_NOP:800_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
procrustes_self_tuning,800,10,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_procrustes_self_tuning_NOP:800_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_procrustes_self_tuning_NOP:800_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
procrustes_self_tuning,800,20,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_procrustes_self_tuning_NOP:800_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_procrustes_self_tuning_NOP:800_IM:procrustes_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
invariant_features_self_tuning,200,0,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_invariant_features_self_tuning_NOP:200_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_invariant_features_self_tuning_NOP:200_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
invariant_features_self_tuning,200,10,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_invariant_features_self_tuning_NOP:200_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_invariant_features_self_tuning_NOP:200_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
invariant_features_self_tuning,200,20,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_invariant_features_self_tuning_NOP:200_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_invariant_features_self_tuning_NOP:200_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
invariant_features_self_tuning,400,0,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_invariant_features_self_tuning_NOP:400_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_invariant_features_self_tuning_NOP:400_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
invariant_features_self_tuning,400,10,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_invariant_features_self_tuning_NOP:400_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_invariant_features_self_tuning_NOP:400_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
invariant_features_self_tuning,400,20,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_invariant_features_self_tuning_NOP:400_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_invariant_features_self_tuning_NOP:400_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
invariant_features_self_tuning,800,0,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_invariant_features_self_tuning_NOP:800_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_invariant_features_self_tuning_NOP:800_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:0_LT:RWGL.pdf
invariant_features_self_tuning,800,10,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_invariant_features_self_tuning_NOP:800_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_invariant_features_self_tuning_NOP:800_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:10_LT:RWGL.pdf
invariant_features_self_tuning,800,20,1.0,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/paper_pointcloud_invariant_features_self_tuning_NOP:800_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pkl,results/pointcloud_self_tuning/pointcloud_all_methods_2026-03-08/new_plots/paper_pointcloud_invariant_features_self_tuning_NOP:800_IM:invariant_features_self_tuning_M:rotation_BW:1.0_IC:False_AS:False_SNR:20_LT:RWGL.pdf
